date,y_true,y_pred
2018-07-17,69.0500005086263,68.81908033411034
2018-07-18,68.3000005086263,68.98230443626123
2018-07-19,68.76666768391927,69.33568753223742
2018-07-20,69.56000010172527,69.83093422847611
2018-07-23,69.26999918619792,68.85482696902947
2018-07-24,68.9566650390625,68.76482448051166
2018-07-25,68.56999969482422,69.04053243299272
2018-07-26,69.1433334350586,69.43005025361212
2018-07-27,69.2000020345052,69.3913607605001
2018-07-30,69.47666676839192,69.54004717067237
2018-07-31,69.19333394368489,70.16555825040032
2018-08-01,68.85000101725261,68.84306861258273
2018-08-02,68.46000162760417,68.81818324928507
2018-08-03,68.37000020345052,68.77068019493022
2018-08-06,68.81999969482422,69.28409043886136
2018-08-07,68.88999938964844,69.19250433804135
2018-08-08,68.37333424886067,69.0286100314797
2018-08-09,67.63999938964844,67.75527575409643
2018-08-10,67.12666575113933,67.42722112995818
2018-08-13,67.2133305867513,67.42549058912428
2018-08-14,67.28999837239583,67.63042125140139
2018-08-15,66.41666666666667,66.53337281069705
2018-08-16,65.83666737874348,65.71402230632103
2018-08-17,65.46000162760417,65.95395081555594
2018-08-20,65.93333435058594,66.23962212457145
2018-08-21,66.56333414713542,67.40298572400164
2018-08-22,67.21333312988281,66.98797215738408
2018-08-23,67.68000030517578,68.23958658555568
2018-08-24,68.1366678873698,68.613868630106
2018-08-27,68.47333526611328,68.85745722909145
2018-08-28,68.70666758219402,68.93350374313881
2018-08-29,68.97000122070312,69.11767853680225
2018-08-30,69.43000030517578,70.07160679442626
2018-08-31,69.85333506266277,70.50118961598717
2018-09-04,69.97333526611328,70.38996374333132
2018-09-05,69.46333567301433,69.22080239323404
2018-09-06,68.78666687011719,68.83144796117121
2018-09-07,68.07999928792317,68.74015777231337
2018-09-10,67.68666585286458,68.4485328692772
2018-09-11,68.18000030517578,68.59728918939113
2018-09-12,69.05333455403645,69.93234256604386
2018-09-13,69.40333302815755,70.26953095383125
2018-09-14,69.31666564941406,69.17060852650587
2018-09-17,68.82999928792317,69.24938796015608
2018-09-18,69.25,69.58495543465702
2018-09-19,69.96000162760417,70.33360992712396
2018-09-20,70.59000142415364,71.34851156299544
2018-09-21,70.9000015258789,71.28053656306558
2018-09-24,71.22000122070312,71.93088885202376
2018-09-25,71.71333312988281,72.48181565041725
2018-09-26,71.97666676839192,72.35321445431306
2018-09-27,71.99000040690105,72.57040394808575
2018-09-28,72.31333414713542,72.92663085976149
2018-10-01,73.55666859944661,74.31589169779181
2018-10-02,74.5933354695638,75.22081933069585
2018-10-03,75.64667002360027,75.69247070995951
2018-10-04,75.32333628336589,75.95020682727852
2018-10-05,75.02666727701823,75.28085507054685
2018-10-08,74.31999969482422,74.87435601760158
2018-10-09,74.52999877929688,75.10635409282082
2018-10-10,74.13999938964844,74.94815307432897
2018-10-11,73.03333282470703,72.58513600167583
2018-10-12,71.82666524251302,72.00381769739884
2018-10-15,71.3633321126302,72.47581612153304
2018-10-16,71.67999776204427,72.18074568153496
2018-10-17,71.14999898274739,72.42178133066788
2018-10-18,70.1066665649414,70.4955966645776
2018-10-19,69.17333475748698,69.7147721935823
2018-10-22,68.98000081380208,69.29679658436672
2018-10-23,68.24000040690105,69.70297707554349
2018-10-24,67.47333272298177,67.76707082700365
2018-10-25,66.86000061035156,67.37302194492464
2018-10-26,67.24666595458984,67.36036348467434
2018-10-29,67.31999969482422,67.67300356930369
2018-10-30,66.93666585286458,66.94453774763454
2018-10-31,66.17666625976562,66.69859426063064
2018-11-01,65.0599988301595,65.45070121154718
2018-11-02,64.04666519165039,64.38258505901179
2018-11-05,63.30999883015951,63.84145293397714
2018-11-06,62.81666564941406,62.89968049121215
2018-11-07,62.32666524251302,62.543574813661664
2018-11-08,61.51666514078776,62.06288014292372
2018-11-09,60.84333165486654,60.83172580357514
2018-11-12,60.26333236694336,60.53647652397053
2018-11-13,58.60333251953125,58.799243243139756
2018-11-14,57.289999643961586,56.577022075058125
2018-11-15,56.13333257039388,56.98018476116339
2018-11-16,56.38999938964844,56.72687377793372
2018-11-19,56.55999883015951,56.042227005895185
2018-11-20,55.54999923706055,56.13516626836068
2018-11-21,54.93999989827474,54.47926554549211
2018-11-23,52.826666514078774,53.49395369674003
2018-11-26,52.22666676839193,52.10530762333471
2018-11-27,51.20333353678385,51.936737835382736
2018-11-28,51.16000111897787,51.45244848157808
2018-11-29,51.1000010172526,50.835756507618505
2018-11-30,50.890000661214195,50.634245974995004
2018-12-03,51.77666727701823,51.91967199192094
2018-12-04,52.37666702270508,52.57200247955413
2018-12-06,52.563334147135414,52.55797449769961
2018-12-07,52.45000076293945,52.15364618519727
2018-12-10,51.70000076293945,51.739929854648054
2018-12-11,51.753334045410156,51.42512132714347
2018-12-12,51.26666768391927,51.61600486564622
2018-12-13,51.7933349609375,51.43058557564717
2018-12-14,51.64333470662435,52.09336224185132
2018-12-17,51.220001220703125,50.86696148320693
2018-12-18,49.106667836507164,49.26667234015077
2018-12-19,47.77333450317383,47.48416514687068
2018-12-20,46.44000116984049,46.6855153437982
2018-12-21,46.223333994547524,46.14045097587119
2018-12-24,44.666666666666664,45.00138138175427
2018-12-26,44.78000005086263,44.270028031818676
2018-12-27,44.45333353678385,45.35863120054647
2018-12-28,45.38666788736979,44.608832945877595
2018-12-31,45.11666742960612,45.17143359526454
2019-01-02,45.76000086466471,45.40704166053265
2019-01-03,46.346666971842446,45.713915236790136
2019-01-04,47.1966667175293,46.701432360142555
2019-01-07,47.856666564941406,47.58468927153486
2019-01-08,48.7533327738444,48.476940839530236
