commodity,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2
Brent Crude Oil,2.158385321191606,2.6943564853384396,0.9899214170445064,2.4194210485559733,3.2322629631859283,0.9338754547171698
Crude Oil,2.620101829298593,3.2567279325163283,0.9843386732546076,3.2389439814201424,4.201246544099275,0.9597167091046189
Heating Oil,0.041725058340759326,0.05300934542112217,0.9955001873460633,0.0634076271105457,0.09881211578824892,0.9869085509206966
Natural Gas,0.14314464507372798,0.20563587105717268,0.9918741150938771,0.16061293243153676,0.22669515040156923,0.985714088285461
RBOB Gasoline,0.04080253078272271,0.0547430642024617,0.9942069835508103,0.05448269902342031,0.07589449132805566,0.9885381081263633
