iter	RMSE
527	0.5941457095
528	0.5939577859
529	0.5936807195
530	0.5935617752
531	0.5931788843
532	0.5928049966
533	0.5925363766
534	0.5922368572
535	0.5920160241
536	0.5918646252
537	0.5917491137
538	0.5914812298
539	0.5911797323
540	0.5908469407
541	0.5906027466
542	0.5903315108
543	0.5899758487
544	0.5898550647
545	0.5894796712
546	0.5892354529
547	0.5889765543
548	0.5886974613
549	0.5883786656
550	0.58824846
551	0.5879793275
552	0.5877076567
553	0.587450551
554	0.5871800929
555	0.5869178935
556	0.5866305243
557	0.5864285459
558	0.5863060102
559	0.5861245889
560	0.5859449579
561	0.5857559271
562	0.5854754328
563	0.5853847083
564	0.5851050818
565	0.584810907
566	0.5845886579
567	0.5842120939
568	0.5838171614
569	0.5836722538
570	0.5835895304
571	0.5834207814
572	0.5832961377
573	0.5829327844
574	0.5827659534
575	0.5825416477
576	0.5823304304
577	0.5821437662
578	0.5820703559
579	0.5819143553
580	0.5816650985
581	0.581418921
582	0.5813192973
583	0.5809723644
584	0.5806586651
585	0.5804396551
586	0.5801500922
587	0.5800879932
588	0.5799814356
589	0.5796275957
590	0.5793329616
591	0.5792619784
592	0.5791604202
593	0.5790664631
594	0.5789738861
595	0.5787351919
596	0.5785109627
597	0.5783593085
598	0.5781132755
599	0.5779253112
600	0.5775614423
601	0.5773388904
602	0.5771197766
603	0.5769137894
604	0.5767092921
605	0.5766360279
606	0.5763803221
607	0.5761740199
608	0.5758086632
609	0.5756773271
610	0.5755822673
611	0.575506022
612	0.5751360259
613	0.5748103947
614	0.5746189836
615	0.5744791171
616	0.5743251902
617	0.5741824075
618	0.5739619865
619	0.5738880858
620	0.5737257157
621	0.573610274
622	0.5732730545
623	0.5731759948
624	0.5729647224
625	0.5725762054
626	0.5725126269
627	0.5724213363
628	0.5723545991
629	0.5722941896
630	0.5719909022
631	0.5717927497
632	0.5715626239
633	0.5713908244
634	0.5710043033
635	0.5709282167
636	0.5708448727
637	0.5705212087
638	0.570265544
639	0.5700742578
640	0.5699195616
641	0.5697493609
642	0.5695049506
643	0.5694194653
644	0.5691762889
645	0.569044364
646	0.5688917739
647	0.5686870839
648	0.5684377105
649	0.5681921681
650	0.5680336072
651	0.5679368868
652	0.567634635
653	0.5675177963
654	0.5674520824
655	0.5672256494
656	0.567112237
657	0.5668207144
658	0.5667324543
659	0.5665728722
660	0.566331106
661	0.5662722257
662	0.5661787685
663	0.5659332382
664	0.5657892883
665	0.5656727532
666	0.5654208086
667	0.5651899357
668	0.5650819126
669	0.5648686456
670	0.5647914114
671	0.5647326485
672	0.5646681833
673	0.5644161742
674	0.5642132032
675	0.5640543932
676	0.5638650329
677	0.5637300181
678	0.5634705983
679	0.5632222689
680	0.5629506398
681	0.5629040351
682	0.5628330869
683	0.562596304
684	0.562428063
685	0.5621751211
686	0.5619468142
687	0.5617487939
688	0.5615519946
689	0.56133832
690	0.5612589695
691	0.561003401
692	0.5607011436
693	0.5606210602
694	0.5605474885
695	0.5604316544
696	0.5603132496
697	0.5601630408
698	0.5599539029
699	0.5597581687
700	0.559448734
701	0.5593499435
702	0.5592531181
703	0.5590704408
704	0.5589550248
705	0.5587780126
706	0.5585573051
707	0.5582633311
708	0.5582114135
709	0.5581460639
710	0.5580778756
711	0.5580255619
712	0.5578702393
713	0.5576636399
714	0.5574838134
715	0.5573991423
716	0.5571699294
717	0.5569900877
718	0.5567805043
719	0.5565169662
720	0.556259385
721	0.5560168583
722	0.5557779842
723	0.5555930013
724	0.5555272031
725	0.5552820562
726	0.555130902
727	0.5550519823
728	0.5548183832
729	0.5547663941
730	0.5545873889
731	0.5544745932
732	0.5542451548
733	0.5542196151
734	0.5539828718
735	0.5538234725
736	0.5537639589
737	0.5536876381
738	0.5535286056
739	0.5533409476
740	0.5532764955
741	0.5531238268
742	0.5530489361
743	0.5529551932
744	0.5529067547
745	0.5526998155
746	0.5525753282
747	0.5525356882
748	0.5524861462
749	0.5522791249
750	0.552038823
751	0.551907254
752	0.551837716
753	0.5516424062
754	0.5514126881
755	0.5513449162
756	0.5511146367
757	0.5509858321
758	0.5507734011
759	0.5506737606
760	0.55053797
761	0.5503304342
762	0.5501307868
763	0.5499520118
764	0.5498321584
765	0.5497034756
766	0.5495583557
767	0.5493324934
768	0.5492683387
769	0.5490840486
770	0.5489785457
771	0.5488233607
772	0.548616723
773	0.548500352
774	0.5484511312
775	0.5483293093
776	0.5482826327
777	0.5481597585
778	0.5479999668
779	0.5479318695
780	0.5477919119
781	0.5476116185
782	0.5474767735
783	0.5472655211
784	0.5470431932
785	0.5470027855
786	0.5467822013
787	0.5466690422
788	0.5464823863
789	0.5464580984
790	0.5462946577
791	0.546056596
792	0.5460093282
793	0.5459407923
794	0.5457160851
795	0.5454681813
796	0.545209035
797	0.5450011464
798	0.5448277803
799	0.544595323
800	0.5444283572
801	0.5443863848
802	0.5442233052
803	0.5441350477
804	0.5440916959
805	0.5439045078
806	0.5436782646
807	0.5434344168
808	0.5432902881
809	0.5431637048
810	0.5429724424
811	0.5428957374
812	0.5427076634
813	0.5425392333
814	0.5424586862
815	0.5423806046
816	0.5423409022
817	0.5422398458
818	0.5420009435
819	0.541867302
820	0.5417968682
821	0.5417059253
822	0.54161623
823	0.5415531034
824	0.5413985782
825	0.5411995969
826	0.5409596033
827	0.5408126687
828	0.5407265607
829	0.5404631427
830	0.5403529626
831	0.5401859433
832	0.5401475302
833	0.5399973287
834	0.5399410283
835	0.5398580786
836	0.5396562305
837	0.5394849054
838	0.5394380651
839	0.5392431652
840	0.5391783445
841	0.538972009
842	0.5389020997
843	0.5387148824
844	0.538674933
845	0.5385535362
846	0.5383667137
847	0.5383057073
848	0.538125288
849	0.5379408951
850	0.5378433977
851	0.5376586062
852	0.5375228289
853	0.5374509448
854	0.5373705587
855	0.5372404573
856	0.5370942437
857	0.5370226081
858	0.5369135332
859	0.5367903388
860	0.5366952865
861	0.5364888881
862	0.5363281353
863	0.5362465546
864	0.5362102372
865	0.5359915968
866	0.5357869879
867	0.5356061175
868	0.5354495864
869	0.535308056
870	0.5352766051
871	0.5351378436
872	0.535083497
873	0.5348744944
874	0.5347221687
875	0.5345011974
876	0.5343441222
877	0.5341818715
878	0.533924638
879	0.5338774098
880	0.5337307735
881	0.5335973649
882	0.5335329198
883	0.533387265
884	0.5331712456
885	0.532986253
886	0.532886403
887	0.5327810222
888	0.5325796618
889	0.5325179467
890	0.5323698138
891	0.5323114733
892	0.5320981662
893	0.5319811507
894	0.5318329079
895	0.531688978
896	0.5314580106
897	0.531353637
898	0.5312620482
899	0.5311384308
900	0.5310094018
901	0.53075258
902	0.5306328032
903	0.5305392724
904	0.5303491689
905	0.5302999513
906	0.5302108028
907	0.5301475413
908	0.5300715399
909	0.5299419824
910	0.5297649895
911	0.5296400698
912	0.5294685947
913	0.5293415779
914	0.5293067198
915	0.5292501929
916	0.5290810679
917	0.5289486289
918	0.5288887186
919	0.5287407367
920	0.5286575844
921	0.5284380665
922	0.5283643396
923	0.5281494734
924	0.5279884608
925	0.527921704
926	0.5277844722
927	0.5276813009
928	0.527558235
929	0.5273985587
930	0.5272278407
931	0.5270311162
932	0.5269861643
933	0.5266873263
934	0.5266205825
935	0.5264610432
936	0.5264276098
937	0.5263120149
938	0.526252686
939	0.5260872472
940	0.5260014187
941	0.5258737794
942	0.5256618233
943	0.5254764706
944	0.5253309314
945	0.5252164868
946	0.5250414838
947	0.5248793188
948	0.5247447454
949	0.524700638
950	0.5246447701
951	0.5244836758
952	0.5244431885
953	0.5243171841
954	0.5242256753
955	0.5241073153
956	0.5240231662
957	0.5239221702
958	0.5238183504
959	0.5236432768
960	0.5236051671
961	0.523489763
962	0.5233771506
963	0.5231863539
964	0.5231379254
965	0.5229824585
966	0.5229284257
967	0.5227331705
968	0.5225729581
969	0.522511105
970	0.5222720435
971	0.5221507856
972	0.5220554857
973	0.5219121795
974	0.5218318225
975	0.5217204297
976	0.5216667205
977	0.5216338607
978	0.5214469234
979	0.5213645134
980	0.5212405627
981	0.5210942659
982	0.5210505439
983	0.5209089039
984	0.5208274985
985	0.5207791403
986	0.5206435833
987	0.5205710563
988	0.5205262053
989	0.5203392483
990	0.5202456209
991	0.5201143768
992	0.5199949508
993	0.5198890234
994	0.5197294793
995	0.5195618704
996	0.5194242622
997	0.519244946
998	0.5191769495
999	0.5190461149
